"id","nome","status","estado_id","selecionada"
"1","AFONSO CLAUDIO","1","8",NULL
"2","AGUA DOCE DO NORTE","1","8",NULL
"3","AGUIA BRANCA","1","8",NULL
"4","ALEGRE","1","8",NULL
"5","ALFREDO CHAVES","1","8",NULL
"6","ALTO RIO NOVO","1","8",NULL
"7","ANCHIETA","1","8",NULL
"8","APIACA","1","8",NULL
"9","ARACRUZ","1","8",NULL
"10","ATILIO VIVACQUA","1","8",NULL
"11","BAIXO GUANDU","1","8",NULL
"12","BARRA DE SAO FRANCISCO","1","8",NULL
"13","BOA ESPERANCA","1","8",NULL
"14","BOM JESUS DO NORTE","1","8",NULL
"15","BREJETUBA","1","8",NULL
"16","CACHOEIRO DE ITAPEMIRIM","1","8",NULL
"17","CARIACICA","1","8",NULL
"18","CASTELO","1","8",NULL
"19","COLATINA","1","8",NULL
"20","CONCEICAO DA BARRA","1","8",NULL
"21","CONCEICAO DO CASTELO","1","8",NULL
"22","DIVINO DE SAO LOURENCO","1","8",NULL
"23","DOMINGOS MARTINS","1","8",NULL
"24","DORES DO RIO PRETO","1","8",NULL
"25","ECOPORANGA","1","8",NULL
"26","FUNDAO","1","8",NULL
"27","GOVERNADOR LINDENBERG","1","8",NULL
"28","GUACUI","1","8",NULL
"29","GUARAPARI","1","8",NULL
"30","IBATIBA","1","8",NULL
"31","IBIRACU","1","8",NULL
"32","IBITIRAMA","1","8",NULL
"33","ICONHA","1","8",NULL
"34","IRUPI","1","8",NULL
"35","ITAGUACU","1","8",NULL
"36","ITAPEMIRIM","1","8",NULL
"37","ITARANA","1","8",NULL
"38","IUNA","1","8",NULL
"39","JAGUARE","1","8",NULL
"40","JERONIMO MONTEIRO","1","8",NULL
"41","JOAO NEIVA","1","8",NULL
"42","LARANJA DA TERRA","1","8",NULL
"43","LINHARES","1","8",NULL
"44","MANTENOPOLIS","1","8",NULL
"45","MARATAIZES","1","8",NULL
"46","MARECHAL FLORIANO","1","8",NULL
"47","MARILANDIA","1","8",NULL
"48","MIMOSO DO SUL","1","8",NULL
"49","MONTANHA","1","8",NULL
"50","MUCURICI","1","8",NULL
"51","MUNIZ FREIRE","1","8",NULL
"52","MUQUI","1","8",NULL
"53","NOVA VENECIA","1","8",NULL
"54","PANCAS","1","8",NULL
"55","PEDRO CANARIO","1","8",NULL
"56","PINHEIROS","1","8",NULL
"57","PIUMA","1","8",NULL
"58","PONTO BELO","1","8",NULL
"59","PRESIDENTE KENNEDY","1","8",NULL
"60","RIO BANANAL","1","8",NULL
"61","RIO NOVO DO SUL","1","8",NULL
"62","SANTA LEOPOLDINA","1","8",NULL
"63","SANTA MARIA DE JETIBA","1","8",NULL
"64","SANTA TERESA","1","8",NULL
"65","SAO DOMINGOS DO NORTE","1","8",NULL
"66","SAO GABRIEL DA PALHA","1","8",NULL
"67","SAO JOSE DO CALCADO","1","8",NULL
"68","SAO MATEUS","1","8",NULL
"69","SAO ROQUE DO CANAA","1","8",NULL
"70","SERRA","1","8",NULL
"71","SOORETAMA","1","8",NULL
"72","VARGEM ALTA","1","8",NULL
"73","VENDA NOVA DO IMIGRANTE","1","8",NULL
"74","VIANA","1","8",NULL
"75","VILA PAVAO","1","8",NULL
"76","VILA VALERIO","1","8",NULL
"77","VILA VELHA","1","8",NULL
"78","VITORIA","1","8",NULL
"79","ACRELANDIA","1","1",NULL
"80","ASSIS BRASIL","1","1",NULL
"81","BRASILEIA","1","1",NULL
"82","BUJARI","1","1",NULL
"83","CAPIXABA","1","1",NULL
"84","CRUZEIRO DO SUL","1","1",NULL
"85","EPITACIOLANDIA","1","1",NULL
"86","FEIJO","1","1",NULL
"87","JORDAO","1","1",NULL
"88","MANCIO LIMA","1","1",NULL
"89","MANOEL URBANO","1","1",NULL
"90","MARECHAL THAUMATURGO","1","1",NULL
"91","PLACIDO DE CASTRO","1","1",NULL
"92","PORTO ACRE","1","1",NULL
"93","PORTO WALTER","1","1",NULL
"94","RIO BRANCO","1","1",NULL
"95","RODRIGUES ALVES","1","1",NULL
"96","SANTA ROSA DO PURUS","1","1",NULL
"97","SENA MADUREIRA","1","1",NULL
"98","SENADOR GUIOMARD","1","1",NULL
"99","TARAUACA","1","1",NULL
"100","XAPURI","1","1",NULL
"101","AGUA BRANCA","1","2",NULL
"102","ANADIA","1","2",NULL
"103","ARAPIRACA","1","2",NULL
"104","ATALAIA","1","2",NULL
"105","BARRA DE SANTO ANTONIO","1","2",NULL
"106","BARRA DE SAO MIGUEL","1","2",NULL
"107","BATALHA","1","2",NULL
"108","BELEM","1","2",NULL
"109","BELO MONTE","1","2",NULL
"110","BOCA DA MATA","1","2",NULL
"111","BRANQUINHA","1","2",NULL
"112","CACIMBINHAS","1","2",NULL
"113","CAJUEIRO","1","2",NULL
"114","CAMPESTRE","1","2",NULL
"115","CAMPO ALEGRE","1","2",NULL
"116","CAMPO GRANDE","1","2",NULL
"117","CANAPI","1","2",NULL
"118","CAPELA","1","2",NULL
"119","CARNEIROS","1","2",NULL
"120","CHA PRETA","1","2",NULL
"121","COITE DO NOIA","1","2",NULL
"122","COLONIA LEOPOLDINA","1","2",NULL
"123","COQUEIRO SECO","1","2",NULL
"124","CORURIPE","1","2",NULL
